FileName,GPT4.1_EmoClass,GPT4.1_EmoVal,Gold_Spans,Annot1,Annot2,Annot3
MSP-PODCAST_1752_0265.wav,contempt,negative,"[[3, 18]]","[[3, 18]]","[[3, 18]]","[[17, 18]]"
MSP-PODCAST_0541_0384.wav,fear,negative,"[[3, 14]]","[[11, 21]]","[[11, 21]]","[[12, 14], [18, 19]]"
MSP-PODCAST_0597_0316.wav,angry,negative,"[[0, 6], [6, 14]]","[[1, 6], [10, 14]]","[[1, 3]]","[[1, 2]]"
MSP-PODCAST_0147_0209.wav,disgust,negative,"[[4, 8]]","[[6, 18]]","[[4, 18]]","[[5, 6], [7, 8]]"
MSP-PODCAST_0281_0085.wav,angry,negative,"[[2, 12], [14, 19]]","[[10, 12], [14, 19]]","[[3, 6], [9, 12]]","[[10, 12], [13, 19]]"
MSP-PODCAST_1917_0812.wav,disgust,negative,"[[4, 20]]","[[7, 8]]","[[2, 4], [15, 20]]","[[7, 14]]"
MSP-PODCAST_2198_0337.wav,angry,negative,"[[0, 5]]","[[0, 1]]","[[0, 2]]","[[0, 2]]"
MSP-PODCAST_0566_0342.wav,fear,negative,"[[6, 16], [22, 29]]","[[10, 16], [25, 29]]","[[0, 2], [4, 5], [14, 16], [25, 26]]","[[10, 16], [26, 29]]"
MSP-PODCAST_2197_0053.wav,disgust,negative,"[[1, 8]]","[[1, 6]]","[[5, 6], [11, 12]]","[[2, 6], [9, 13]]"
MSP-PODCAST_0381_0291.wav,angry,negative,"[[1, 11]]","[[1, 3]]","[[1, 10]]","[[1, 3], [9, 11]]"
MSP-PODCAST_1917_0747.wav,contempt,negative,"[[1, 11]]","[[1, 2], [7, 11]]","[[9, 11], [16, 17]]","[[5, 11]]"
MSP-PODCAST_0611_0099.wav,disgust,negative,"[[0, 8]]","[[5, 8]]","[[7, 8]]","[[4, 8]]"
MSP-PODCAST_1917_0819.wav,sad,negative,"[[2, 9]]","[[0, 5], [6, 12]]","[[0, 1], [4, 5], [8, 9], [11, 15]]","[[2, 10]]"
MSP-PODCAST_2198_0330.wav,disgust,negative,"[[3, 12]]","[[3, 5]]","[[1, 3], [7, 10]]","[[3, 10]]"
MSP-PODCAST_0147_0268.wav,contempt,negative,"[[6, 15]]","[[4, 9]]","[[10, 15]]","[[0, 6]]"
